text,label
I want to book an appointment with a doctor,appointment
Can I schedule a consultation for tomorrow,appointment
Please help me book a hospital appointment,appointment
I need to see a specialist this week,appointment
How do I book an appointment online,appointment
I want to meet Dr Sharma for consultation,appointment
Is there any slot available for appointment today,appointment
I would like to schedule my visit,appointment
Please arrange an appointment for cardiology,appointment
Can I get an appointment in the evening,appointment
I need to reschedule my doctor appointment,appointment
How can I fix an appointment with ENT,appointment
I want to consult a physician,appointment
Is it possible to book appointment via phone,appointment
Help me book my first hospital appointment,appointment
Can I book an appointment for my father,appointment
I want an urgent appointment with a doctor,appointment
Please book an appointment as soon as possible,appointment
How do I cancel and rebook my appointment,appointment
I want to check appointment availability,appointment
Can I get an appointment for next Monday,appointment
I need help scheduling a medical consultation,appointment
Please confirm my appointment booking,appointment
I want to set up an appointment with orthopedics,appointment
Need assistance booking appointment,appointment

How much do I need to pay for my treatment,billing
I have a billing related question,billing
Why is my hospital bill so high,billing
Can you explain the charges on my bill,billing
I was charged extra for my surgery,billing
I want details of my payment,billing
How can I pay my hospital bill,billing
Is my insurance reflected in the bill,billing
Billing amount seems incorrect,billing
Please clarify billing charges,billing
I want a copy of my bill,billing
How do I download my invoice,billing
Why was an additional amount added,billing
I have an issue with hospital billing,billing
Can you correct my bill,billing
I need help regarding payment,billing
Is there a pending amount to be paid,billing
How can I clear my outstanding bill,billing
My bill does not include insurance discount,billing
I was wrongly billed,billing
Billing details are not clear,billing
Please review my payment statement,billing
How do I get billing support,billing
I want to raise a billing concern,billing
There is an error in my invoice,billing

I have not received my medical report yet,reports
My blood test report is pending,reports
When will my lab report be ready,reports
I cannot find my test results online,reports
Please send my medical reports,reports
I am waiting for my diagnostic report,reports
How do I download my reports,reports
My report status is not updated,reports
I want a copy of my health report,reports
The report has not been shared with me,reports
Where can I access my test report,reports
My MRI report is delayed,reports
I need help retrieving my report,reports
The hospital has not sent my report,reports
Can you check my report availability,reports
I want my blood test results,reports
Why is my report taking so long,reports
Please update me on my report,reports
I cannot view my lab results,reports
My reports are missing from portal,reports
When can I collect my medical report,reports
Report download link is not working,reports
I have an issue accessing my report,reports
Please provide my test report,reports
My health reports are incomplete,reports

I want to complain about long waiting time,complaint
The staff behavior was rude,complaint
I had a bad experience at the hospital,complaint
I want to raise a complaint,complaint
The service quality was poor,complaint
I am unhappy with hospital management,complaint
Waiting area was overcrowded,complaint
I want to file a complaint against staff,complaint
My appointment was delayed without notice,complaint
The doctor arrived very late,complaint
I faced issues during my hospital visit,complaint
This is a complaint regarding cleanliness,complaint
Hospital services are not satisfactory,complaint
I want to escalate a complaint,complaint
I am disappointed with the service,complaint
There was no proper guidance at reception,complaint
The hospital experience was unpleasant,complaint
I want to report mismanagement,complaint
Staff did not cooperate properly,complaint
I had to wait for hours,complaint
Facilities were not clean,complaint
My complaint was not addressed earlier,complaint
This is regarding poor hospital service,complaint
I am not satisfied with patient care,complaint
I want to lodge a formal complaint,complaint
